id,set_date,city,unemployment_rate,jobs,in_demand_skills,average_age,college_degree_percentage,unemployment_level,state,job_posting_level,average_age_group,college_degree_percentage_level,set_year
199,8/9/2024,Phoenix,6.3,1395,"JavaScript, Cybersecurity, Python, Sales",50,81,Moderate,AZ,Low,Older,High,2024
200,11/22/2023,Seattle,14,483,"Customer Service, Data Analysis, Machine Learning, Digital Marketing",40,65,Very High,WA,Very Low,Middle-Aged,Moderate,2023
201,10/16/2023,San Antonio,11.3,3137,"JavaScript, Sales, Customer Service, Cloud Computing, Project Management",48,44,High,TX,High,Older,Low,2023
202,11/7/2024,Washington,14.6,2512,"Customer Service, Digital Marketing, Cybersecurity, Project Management",50,34,Very High,DC,Moderate,Older,Low,2024
203,6/5/2025,Philadelphia,13.6,552,"JavaScript, Cloud Computing",30,77,Very High,PA,Low,Young,High,2025
204,6/13/2024,Houston,12.7,802,"Project Management, Digital Marketing, Cybersecurity",29,43,Very High,TX,Low,Young,Low,2024
205,7/1/2024,Phoenix,9.4,2020,"Data Analysis, Sales, Python, Digital Marketing, SQL",33,62,High,AZ,Moderate,Middle-Aged,Moderate,2024
206,9/17/2024,San Francisco,4,2207,"JavaScript, Agile Methodologies, Machine Learning, Digital Marketing",29,83,Very Low,CA,Moderate,Young,High,2024
207,3/20/2025,San Antonio,14.6,3118,"Customer Service, Agile Methodologies, UX/UI Design",46,76,Very High,TX,High,Older,High,2025
208,8/10/2024,Charlotte,4,3385,"Python, Machine Learning, SQL, Agile Methodologies",34,74,Very Low,NC,High,Middle-Aged,High,2024
209,3/28/2025,Dallas,14.2,1599,"Customer Service, Python, SQL, Agile Methodologies",39,72,Very High,TX,Moderate,Middle-Aged,High,2025
210,10/14/2023,San Antonio,14.1,947,"Digital Marketing, Data Analysis, UX/UI Design, Python, Machine Learning",40,43,Very High,TX,Low,Middle-Aged,Low,2023
211,2/9/2024,San Diego,7.1,3401,"Python, Customer Service, Digital Marketing, Agile Methodologies, UX/UI Design",31,47,Moderate,CA,High,Middle-Aged,Low,2024
212,6/21/2024,San Francisco,7.6,4668,"Sales, JavaScript",49,41,Moderate,CA,Very High,Older,Low,2024
213,11/24/2024,Phoenix,9.5,1862,"Cloud Computing, UX/UI Design",34,85,High,AZ,Moderate,Middle-Aged,High,2024
214,12/9/2023,Jacksonville,11.3,3953,"Agile Methodologies, SQL, Cybersecurity, Python",26,54,High,FL,High,Young,Moderate,2023
215,1/5/2024,Columbus,4,1230,"Sales, Machine Learning",30,45,Very Low,OH,Low,Young,Low,2024
216,1/31/2025,Indianapolis,14.5,3272,"Digital Marketing, Data Analysis",34,72,Very High,IN,High,Middle-Aged,High,2025
217,1/5/2024,Phoenix,6.1,3235,"Cybersecurity, Customer Service, Data Analysis",26,43,Moderate,AZ,High,Young,Low,2024
218,1/6/2024,San Antonio,10.5,2547,"Python, JavaScript, Sales, Agile Methodologies, Machine Learning",31,36,High,TX,Moderate,Middle-Aged,Low,2024
219,12/14/2023,Philadelphia,9.4,2210,"Cloud Computing, UX/UI Design, Project Management",32,83,High,PA,Moderate,Middle-Aged,High,2023
220,8/4/2023,San Antonio,9.1,1103,"UX/UI Design, SQL, Cybersecurity, Data Analysis",35,57,High,TX,Low,Middle-Aged,Moderate,2023
221,9/22/2023,Houston,7.2,2216,"Data Analysis, Project Management, Customer Service, SQL, Python",48,57,Moderate,TX,Moderate,Older,Moderate,2023
222,12/27/2024,Jacksonville,11.4,1519,"Sales, Machine Learning, Python",46,37,High,FL,Moderate,Older,Low,2024
223,2/24/2024,Fort Worth,3.2,106,"UX/UI Design, Cloud Computing, Project Management, SQL",25,65,Very Low,TX,Very Low,Young,Moderate,2024
224,5/15/2025,San Antonio,14.1,3225,"Agile Methodologies, Python, Sales, Digital Marketing",29,84,Very High,TX,High,Young,High,2025
225,2/5/2025,Phoenix,11.4,1152,"Sales, Data Analysis, Cloud Computing, Python",47,76,High,AZ,Low,Older,High,2025
226,4/5/2024,Philadelphia,3.6,3819,"Cybersecurity, Digital Marketing",44,59,Very Low,PA,High,Older,Moderate,2024
227,12/4/2024,Philadelphia,8.5,1802,"Machine Learning, SQL, UX/UI Design",26,80,Moderate,PA,Moderate,Young,High,2024
228,8/23/2024,Columbus,2.1,3606,"Machine Learning, Cybersecurity",25,82,Very Low,OH,High,Young,High,2024
229,9/5/2023,Washington,4,1812,"Project Management, Agile Methodologies, Cloud Computing",28,40,Very Low,DC,Moderate,Young,Low,2023
230,7/30/2024,San Diego,11.4,3719,"Customer Service, Python, Agile Methodologies, JavaScript, UX/UI Design",37,51,High,CA,High,Middle-Aged,Moderate,2024
231,8/27/2024,Fort Worth,13.9,2805,"Cloud Computing, UX/UI Design, Sales, Cybersecurity",45,45,Very High,TX,Moderate,Older,Low,2024
232,9/29/2023,New York,4.6,603,"Python, Sales, Project Management, SQL, Agile Methodologies",39,75,Low,NY,Low,Middle-Aged,High,2023
233,9/3/2023,New York,9,1928,"Python, Customer Service",39,73,Moderate,NY,Moderate,Middle-Aged,High,2023
234,7/20/2024,San Jose,11.4,1003,"Project Management, Cloud Computing, Digital Marketing, Machine Learning",30,80,High,CA,Low,Young,High,2024
235,1/23/2024,Charlotte,8,1272,"Sales, UX/UI Design, Machine Learning",41,77,Moderate,NC,Low,Older,High,2024
236,8/24/2023,Indianapolis,9.3,2540,"Python, Digital Marketing, JavaScript",32,47,High,IN,Moderate,Middle-Aged,Low,2023
237,4/13/2025,Jacksonville,5.5,2056,"Machine Learning, JavaScript",50,42,Low,FL,Moderate,Older,Low,2025
238,2/27/2025,Chicago,7.9,2357,"Data Analysis, UX/UI Design, Cloud Computing, JavaScript",29,64,Moderate,IL,Moderate,Young,Moderate,2025
239,12/18/2023,San Francisco,13.3,1589,"Agile Methodologies, Python, Project Management, Cloud Computing",39,54,Very High,CA,Moderate,Middle-Aged,Moderate,2023
240,11/5/2024,Seattle,4.4,735,"Cloud Computing, Python",27,59,Low,WA,Low,Young,Moderate,2024
241,6/10/2025,San Francisco,12.4,3254,"UX/UI Design, Data Analysis, Sales",41,52,Very High,CA,High,Older,Moderate,2025
242,11/26/2023,Los Angeles,8.4,708,"Agile Methodologies, Machine Learning",37,40,Moderate,CA,Low,Middle-Aged,Low,2023
243,9/13/2024,Austin,2.7,1734,"Machine Learning, Customer Service, Agile Methodologies",37,79,Very Low,TX,Moderate,Middle-Aged,High,2024
244,12/31/2024,Seattle,13.1,682,"Python, Customer Service, Data Analysis, JavaScript, Cybersecurity",38,44,Very High,WA,Low,Middle-Aged,Low,2024
245,6/18/2024,Columbus,5,126,"Machine Learning, Project Management",44,45,Low,OH,Very Low,Older,Low,2024
246,2/15/2025,Washington,3.2,1326,"Project Management, Data Analysis, Digital Marketing, SQL, Machine Learning",36,37,Very Low,DC,Low,Middle-Aged,Low,2025
247,10/9/2024,Fort Worth,12.2,4537,"SQL, Cloud Computing",40,47,Very High,TX,Very High,Middle-Aged,Low,2024
248,6/17/2024,San Diego,15,813,"Digital Marketing, Machine Learning, Agile Methodologies, Python, JavaScript",29,80,Very High,CA,Low,Young,High,2024
249,12/17/2024,Dallas,4.1,1647,"Machine Learning, Digital Marketing, Customer Service, SQL, Python",37,81,Low,TX,Moderate,Middle-Aged,High,2024
250,2/15/2025,Dallas,10.5,128,"Python, SQL",25,34,High,TX,Very Low,Young,Low,2025
251,10/25/2024,Indianapolis,3.3,3921,"Python, Cloud Computing, Agile Methodologies, Digital Marketing",47,74,Very Low,IN,High,Older,High,2024
252,11/14/2024,Los Angeles,7.2,2206,"Customer Service, Data Analysis",49,49,Moderate,CA,Moderate,Older,Low,2024
253,11/14/2024,Indianapolis,9.3,574,"Project Management, Sales",44,59,High,IN,Low,Older,Moderate,2024
254,2/22/2025,San Jose,2.4,3301,"UX/UI Design, JavaScript, Digital Marketing, Cybersecurity, Python",45,52,Very Low,CA,High,Older,Moderate,2025
255,10/26/2023,Phoenix,14.5,1011,"SQL, Project Management, Python",26,43,Very High,AZ,Low,Young,Low,2023
256,3/8/2025,Philadelphia,11.4,1976,"Machine Learning, Cybersecurity",43,87,High,PA,Moderate,Older,High,2025
257,6/28/2025,Jacksonville,8.9,3332,"Customer Service, Sales",29,41,Moderate,FL,High,Young,Low,2025
258,2/5/2025,Chicago,14.8,1899,"Customer Service, SQL",32,49,Very High,IL,Moderate,Middle-Aged,Low,2025
259,10/10/2024,Los Angeles,12.6,1740,"Cybersecurity, SQL, JavaScript",50,83,Very High,CA,Moderate,Older,High,2024
260,8/8/2023,San Antonio,4.6,445,"Machine Learning, Project Management, Sales, Data Analysis, Agile Methodologies",43,54,Low,TX,Very Low,Older,Moderate,2023
261,1/23/2025,Austin,7.2,3856,"UX/UI Design, Project Management, Cloud Computing, Machine Learning, Sales",36,41,Moderate,TX,High,Middle-Aged,Low,2025
262,6/14/2024,Los Angeles,10.9,2318,"Cloud Computing, Project Management, Sales",30,69,High,CA,Moderate,Young,Moderate,2024
263,11/27/2023,San Francisco,9.2,542,"SQL, Digital Marketing",49,72,High,CA,Low,Older,High,2023
264,6/5/2024,New York,9.2,1557,"Cloud Computing, Customer Service, Cybersecurity, UX/UI Design",49,45,High,NY,Moderate,Older,Low,2024
265,6/19/2024,Los Angeles,7.6,1699,"Project Management, Cybersecurity, Python, Sales",32,71,Moderate,CA,Moderate,Middle-Aged,High,2024
266,1/21/2024,Chicago,11.7,1493,"Customer Service, Python",48,90,High,IL,Low,Older,High,2024
267,2/16/2024,San Antonio,13.5,4826,"Project Management, SQL",44,87,Very High,TX,Very High,Older,High,2024
268,6/2/2025,Chicago,7,3944,"Cybersecurity, Machine Learning, Python",46,43,Moderate,IL,High,Older,Low,2025
269,11/9/2023,San Francisco,9.5,272,"Machine Learning, Sales",25,58,High,CA,Very Low,Young,Moderate,2023
270,7/20/2025,Seattle,9.8,663,"Cloud Computing, SQL, Cybersecurity, Customer Service",47,39,High,WA,Low,Older,Low,2025
271,11/6/2024,Dallas,3.5,3243,"Cybersecurity, UX/UI Design, JavaScript",30,54,Very Low,TX,High,Young,Moderate,2024
272,4/12/2024,Columbus,11.9,4500,"Digital Marketing, Customer Service, Data Analysis, UX/UI Design",35,72,High,OH,High,Middle-Aged,High,2024
273,4/7/2025,Phoenix,5.7,1072,"Cloud Computing, Agile Methodologies",27,63,Low,AZ,Low,Young,Moderate,2025
274,7/2/2024,Indianapolis,2.7,455,"Digital Marketing, Machine Learning, Data Analysis, Python, Sales",49,69,Very Low,IN,Very Low,Older,Moderate,2024
275,12/12/2024,Fort Worth,11.3,2753,"JavaScript, SQL, Project Management",48,88,High,TX,Moderate,Older,High,2024
276,3/20/2025,Phoenix,9.7,1016,"Cybersecurity, Sales, JavaScript, Data Analysis, Project Management",33,48,High,AZ,Low,Middle-Aged,Low,2025
277,3/27/2024,Fort Worth,4.6,4881,"Cybersecurity, JavaScript, Sales, Agile Methodologies, Python",48,56,Low,TX,Very High,Older,Moderate,2024
278,8/3/2023,Charlotte,8.5,457,"SQL, Sales, Machine Learning, Python",49,49,Moderate,NC,Very Low,Older,Low,2023
279,2/20/2024,Charlotte,12.2,2889,"Python, Cybersecurity, Customer Service",49,58,Very High,NC,Moderate,Older,Moderate,2024
280,8/3/2024,Jacksonville,15,2912,"Cloud Computing, Digital Marketing, Data Analysis",44,58,Very High,FL,Moderate,Older,Moderate,2024
281,12/31/2023,Columbus,13,3596,"Cybersecurity, Digital Marketing",38,44,Very High,OH,High,Middle-Aged,Low,2023
282,5/15/2024,Jacksonville,6.8,2746,"Agile Methodologies, Project Management, Machine Learning, Customer Service, Digital Marketing",47,36,Moderate,FL,Moderate,Older,Low,2024
283,5/7/2024,San Antonio,2.1,1750,"SQL, UX/UI Design, Cloud Computing",26,60,Very Low,TX,Moderate,Young,Moderate,2024
284,1/18/2024,New York,6.7,3423,"SQL, Data Analysis",49,42,Moderate,NY,High,Older,Low,2024
285,6/14/2024,Washington,8.8,3102,"Machine Learning, UX/UI Design, Agile Methodologies",39,67,Moderate,DC,High,Middle-Aged,Moderate,2024
286,5/9/2025,Chicago,11.8,186,"Customer Service, JavaScript",30,78,High,IL,Very Low,Young,High,2025
287,12/26/2024,Seattle,12,4464,"Cloud Computing, Customer Service, Machine Learning, Cybersecurity",49,63,High,WA,High,Older,Moderate,2024
288,8/10/2023,Charlotte,13.9,3872,"Agile Methodologies, Data Analysis",44,61,Very High,NC,High,Older,Moderate,2023
289,4/1/2024,Houston,8.8,4437,"Cybersecurity, JavaScript",38,55,Moderate,TX,High,Middle-Aged,Moderate,2024
290,8/9/2023,San Francisco,3.7,2384,"Digital Marketing, Agile Methodologies, JavaScript, Sales, Cloud Computing",50,31,Very Low,CA,Moderate,Older,Low,2023
291,1/5/2025,San Francisco,11,4948,"Agile Methodologies, Customer Service, Data Analysis, SQL, Python",42,59,High,CA,Very High,Older,Moderate,2025
292,4/23/2024,Seattle,7.7,1518,"Project Management, Machine Learning, Agile Methodologies, Customer Service",39,42,Moderate,WA,Moderate,Middle-Aged,Low,2024
293,10/26/2023,Charlotte,10.2,1168,"JavaScript, Machine Learning, Sales, Project Management, Customer Service",25,90,High,NC,Low,Young,High,2023
294,7/8/2025,New York,4.2,485,"JavaScript, Customer Service",32,75,Low,NY,Very Low,Middle-Aged,High,2025
295,9/16/2023,Washington,7.5,4376,"SQL, JavaScript",49,86,Moderate,DC,High,Older,High,2023
296,12/2/2024,Chicago,4.5,1412,"UX/UI Design, JavaScript, SQL, Customer Service",29,86,Low,IL,Low,Young,High,2024
297,9/21/2024,San Diego,11.4,4129,"UX/UI Design, Python, Agile Methodologies, Customer Service, Project Management",27,69,High,CA,High,Young,Moderate,2024
298,7/31/2023,Los Angeles,9,2500,"Cybersecurity, UX/UI Design, JavaScript",31,78,Moderate,CA,Moderate,Middle-Aged,High,2023
299,7/25/2024,Chicago,7.1,4290,"JavaScript, Machine Learning, Agile Methodologies, Data Analysis",49,74,Moderate,IL,High,Older,High,2024
300,1/17/2024,Houston,10.5,3920,"SQL, Cybersecurity, Python, UX/UI Design",40,69,High,TX,High,Middle-Aged,Moderate,2024
301,11/27/2024,Washington,4.4,3974,"JavaScript, Sales, UX/UI Design, Digital Marketing, Data Analysis",40,77,Low,DC,High,Middle-Aged,High,2024
302,10/9/2023,Philadelphia,9.2,2271,"Python, Machine Learning, Project Management, SQL",28,34,High,PA,Moderate,Young,Low,2023
303,4/26/2025,Chicago,4.8,1798,"Project Management, UX/UI Design, Machine Learning, Data Analysis",50,35,Low,IL,Moderate,Older,Low,2025
304,12/17/2024,Indianapolis,2.8,4645,"Cybersecurity, Digital Marketing, Cloud Computing, Customer Service",29,37,Very Low,IN,Very High,Young,Low,2024
305,3/28/2024,Seattle,4.5,2804,"Customer Service, JavaScript, Data Analysis, UX/UI Design, Cloud Computing",30,50,Low,WA,Moderate,Young,Low,2024
306,10/16/2023,Fort Worth,13.6,1756,"Sales, UX/UI Design, Machine Learning, Python, SQL",25,71,Very High,TX,Moderate,Young,High,2023
307,11/30/2024,Jacksonville,13.5,1421,"UX/UI Design, Agile Methodologies",28,78,Very High,FL,Low,Young,High,2024
308,1/24/2024,Jacksonville,11.7,1930,"Data Analysis, Digital Marketing, Sales",48,54,High,FL,Moderate,Older,Moderate,2024
309,11/24/2024,Indianapolis,6.8,2663,"Project Management, Data Analysis, Digital Marketing",34,31,Moderate,IN,Moderate,Middle-Aged,Low,2024
310,11/30/2023,Philadelphia,13.6,4490,"Cloud Computing, Machine Learning, Project Management",33,41,Very High,PA,High,Middle-Aged,Low,2023
311,6/14/2025,San Antonio,3,2626,"Project Management, Python, Agile Methodologies, UX/UI Design",27,85,Very Low,TX,Moderate,Young,High,2025
312,8/18/2023,San Diego,13.6,4752,"Data Analysis, Agile Methodologies, Project Management, Digital Marketing",33,69,Very High,CA,Very High,Middle-Aged,Moderate,2023
313,3/11/2024,Austin,14.8,1585,"Cybersecurity, Agile Methodologies, JavaScript, Customer Service, Cloud Computing",47,62,Very High,TX,Moderate,Older,Moderate,2024
314,12/25/2023,San Antonio,3.9,2276,"Digital Marketing, Machine Learning, Customer Service",38,60,Very Low,TX,Moderate,Middle-Aged,Moderate,2023
315,5/4/2025,Chicago,9.9,4477,"Machine Learning, Digital Marketing",36,41,High,IL,High,Middle-Aged,Low,2025
316,2/24/2025,Philadelphia,2.9,2300,"Python, UX/UI Design, Sales, Data Analysis",28,72,Very Low,PA,Moderate,Young,High,2025
317,7/12/2024,Dallas,11.5,2952,"JavaScript, Cybersecurity, Machine Learning, Project Management, Python",27,82,High,TX,Moderate,Young,High,2024
318,5/19/2024,Phoenix,10.1,4353,"Machine Learning, Customer Service",50,89,High,AZ,High,Older,High,2024
319,11/8/2023,Jacksonville,11.8,1213,"UX/UI Design, SQL, Digital Marketing",40,62,High,FL,Low,Middle-Aged,Moderate,2023
320,8/3/2024,Austin,11.4,3546,"Sales, Python, Digital Marketing",40,44,High,TX,High,Middle-Aged,Low,2024
321,7/28/2024,Washington,12.2,869,"Data Analysis, UX/UI Design, Cybersecurity",42,35,Very High,DC,Low,Older,Low,2024
322,4/6/2025,San Jose,4.2,4434,"Customer Service, Agile Methodologies, Digital Marketing, Python, Data Analysis",34,86,Low,CA,High,Middle-Aged,High,2025
323,5/19/2024,Fort Worth,11.5,1405,"Python, Data Analysis, UX/UI Design, Agile Methodologies, Sales",31,61,High,TX,Low,Middle-Aged,Moderate,2024
324,6/3/2024,San Francisco,15,1947,"Python, Customer Service, SQL, Data Analysis, Cybersecurity",32,60,Very High,CA,Moderate,Middle-Aged,Moderate,2024
325,4/22/2025,Charlotte,7.3,2509,"Data Analysis, SQL, UX/UI Design, Project Management",27,79,Moderate,NC,Moderate,Young,High,2025
326,9/29/2023,San Jose,14.6,4239,"Cloud Computing, Cybersecurity, JavaScript, Machine Learning",37,36,Very High,CA,High,Middle-Aged,Low,2023
327,9/27/2023,Houston,12.1,3778,"Data Analysis, Customer Service",40,37,Very High,TX,High,Middle-Aged,Low,2023
328,4/27/2024,Charlotte,10.7,1246,"Project Management, UX/UI Design, Data Analysis, Machine Learning, Agile Methodologies",26,75,High,NC,Low,Young,High,2024
329,3/23/2025,Jacksonville,10.5,4793,"JavaScript, Agile Methodologies, UX/UI Design, Machine Learning, Project Management",47,86,High,FL,Very High,Older,High,2025
330,7/30/2024,San Diego,13.9,2954,"Digital Marketing, SQL, Cybersecurity, Customer Service, Python",38,68,Very High,CA,Moderate,Middle-Aged,Moderate,2024
331,1/1/2024,Charlotte,8.4,1515,"UX/UI Design, Project Management, JavaScript",26,40,Moderate,NC,Moderate,Young,Low,2024
332,11/5/2024,Washington,5.4,770,"Project Management, Machine Learning, Data Analysis, Customer Service",26,61,Low,DC,Low,Young,Moderate,2024
333,6/18/2025,New York,10.1,3101,"Project Management, Cybersecurity, Agile Methodologies",39,63,High,NY,High,Middle-Aged,Moderate,2025
334,3/27/2024,Chicago,10.5,2982,"Digital Marketing, Cybersecurity, SQL, Project Management",41,84,High,IL,Moderate,Older,High,2024
335,12/19/2024,Denver,12.5,4232,"SQL, Sales",33,71,Very High,CO,High,Middle-Aged,High,2024
336,10/23/2023,Columbus,9.2,1836,"Python, Digital Marketing, Cybersecurity",41,64,High,OH,Moderate,Older,Moderate,2023
337,9/26/2023,Denver,6,4299,"JavaScript, Project Management, Sales",44,51,Low,CO,High,Older,Moderate,2023
338,5/14/2025,Seattle,6.2,4495,"Project Management, Agile Methodologies, Cybersecurity",35,71,Moderate,WA,High,Middle-Aged,High,2025
339,5/24/2025,Denver,10.1,4848,"JavaScript, Project Management, UX/UI Design, SQL, Machine Learning",33,55,High,CO,Very High,Middle-Aged,Moderate,2025
340,1/30/2025,Los Angeles,13.6,2103,"Agile Methodologies, Project Management",47,47,Very High,CA,Moderate,Older,Low,2025
341,11/10/2023,Columbus,9.8,2980,"UX/UI Design, Customer Service",43,83,High,OH,Moderate,Older,High,2023
342,7/11/2025,Jacksonville,8,2480,"UX/UI Design, Machine Learning",49,76,Moderate,FL,Moderate,Older,High,2025
343,9/14/2024,Phoenix,7.5,128,"Cybersecurity, Digital Marketing",34,35,Moderate,AZ,Very Low,Middle-Aged,Low,2024
344,12/5/2023,Dallas,5.1,720,"Project Management, Machine Learning",49,47,Low,TX,Low,Older,Low,2023
345,12/8/2023,San Jose,12.2,2287,"Data Analysis, Customer Service, Python",35,44,Very High,CA,Moderate,Middle-Aged,Low,2023
346,11/11/2023,Indianapolis,13,2474,"UX/UI Design, Machine Learning, Agile Methodologies",25,65,Very High,IN,Moderate,Young,Moderate,2023
347,6/21/2025,Charlotte,7,3395,"Digital Marketing, Cybersecurity",48,86,Moderate,NC,High,Older,High,2025
348,11/19/2024,Jacksonville,6.3,148,"Cybersecurity, Sales, Machine Learning, Data Analysis",50,83,Moderate,FL,Very Low,Older,High,2024
349,11/11/2024,San Jose,14.1,2098,"Agile Methodologies, SQL, Sales",46,75,Very High,CA,Moderate,Older,High,2024
350,1/6/2025,Phoenix,10.1,101,"Cloud Computing, Python, JavaScript, Sales, Cybersecurity",33,32,High,AZ,Very Low,Middle-Aged,Low,2025
351,6/27/2024,Los Angeles,14.4,4716,"Sales, Cloud Computing, Python, Data Analysis, SQL",42,70,Very High,CA,Very High,Older,Moderate,2024
352,2/11/2025,Denver,4.5,699,"Agile Methodologies, Sales, Python",28,55,Low,CO,Low,Young,Moderate,2025
353,7/11/2025,Phoenix,7,1602,"Agile Methodologies, JavaScript, SQL",27,66,Moderate,AZ,Moderate,Young,Moderate,2025
354,11/25/2024,San Francisco,14.5,611,"Digital Marketing, Data Analysis, UX/UI Design, Cloud Computing, Customer Service",50,48,Very High,CA,Low,Older,Low,2024
355,10/26/2024,Washington,10.4,1310,"SQL, Digital Marketing, Project Management",30,58,High,DC,Low,Young,Moderate,2024
356,6/18/2024,San Antonio,3.5,1330,"Project Management, Sales, Machine Learning, Customer Service",38,60,Very Low,TX,Low,Middle-Aged,Moderate,2024
357,12/7/2024,San Francisco,12.8,3489,"Cloud Computing, Machine Learning, Customer Service, Digital Marketing",46,41,Very High,CA,High,Older,Low,2024
358,1/14/2024,Dallas,3.3,2621,"UX/UI Design, Sales, Agile Methodologies, Project Management, SQL",27,34,Very Low,TX,Moderate,Young,Low,2024
359,11/6/2024,Chicago,14.1,762,"Customer Service, Cybersecurity, UX/UI Design",41,32,Very High,IL,Low,Older,Low,2024
360,8/25/2023,San Diego,13.1,544,"Cybersecurity, Project Management, Cloud Computing, SQL",39,47,Very High,CA,Low,Middle-Aged,Low,2023
361,5/25/2025,Dallas,2.9,2390,"Sales, Python, Digital Marketing, Data Analysis",48,80,Very Low,TX,Moderate,Older,High,2025
362,5/5/2024,Seattle,6.9,2334,"Data Analysis, Python",29,88,Moderate,WA,Moderate,Young,High,2024
363,6/16/2025,Chicago,4.3,1112,"SQL, Machine Learning, Data Analysis, Python, Sales",32,47,Low,IL,Low,Middle-Aged,Low,2025
364,9/20/2023,Washington,2.3,1370,"SQL, UX/UI Design, Digital Marketing, Cloud Computing",38,45,Very Low,DC,Low,Middle-Aged,Low,2023
365,11/13/2024,San Antonio,2.7,4678,"SQL, UX/UI Design, JavaScript, Cloud Computing",36,55,Very Low,TX,Very High,Middle-Aged,Moderate,2024
366,2/25/2024,Indianapolis,4.1,3175,"Cybersecurity, Sales",35,36,Low,IN,High,Middle-Aged,Low,2024
367,2/1/2024,Houston,8.7,4604,"Python, Sales, Machine Learning, Customer Service",50,41,Moderate,TX,Very High,Older,Low,2024
368,7/29/2024,Denver,4.1,2051,"JavaScript, Project Management, Cloud Computing, Python",25,36,Low,CO,Moderate,Young,Low,2024
369,10/15/2023,San Antonio,6.9,2943,"Project Management, Digital Marketing",50,45,Moderate,TX,Moderate,Older,Low,2023
370,2/27/2025,San Jose,2.7,1626,"Python, Sales, Agile Methodologies, Cloud Computing",33,84,Very Low,CA,Moderate,Middle-Aged,High,2025
371,8/25/2023,Dallas,12.6,3489,"Data Analysis, JavaScript, SQL, Customer Service, Sales",50,45,Very High,TX,High,Older,Low,2023
372,5/7/2025,San Antonio,4.6,1320,"Customer Service, Project Management",44,74,Low,TX,Low,Older,High,2025
373,11/14/2023,Fort Worth,8.4,1512,"Sales, Project Management, Agile Methodologies, Cybersecurity, Digital Marketing",45,66,Moderate,TX,Moderate,Older,Moderate,2023
374,2/6/2024,Seattle,3.5,1331,"Machine Learning, Data Analysis, JavaScript, Customer Service",31,50,Very Low,WA,Low,Middle-Aged,Low,2024
375,2/2/2025,Fort Worth,13.8,1558,"Data Analysis, SQL, Customer Service",36,45,Very High,TX,Moderate,Middle-Aged,Low,2025
376,5/15/2025,Denver,9.8,404,"Agile Methodologies, Digital Marketing, Project Management, Python, JavaScript",33,31,High,CO,Very Low,Middle-Aged,Low,2025
377,11/22/2024,Phoenix,4.7,4441,"Python, Machine Learning, Data Analysis",37,40,Low,AZ,High,Middle-Aged,Low,2024
378,12/4/2023,Seattle,9.6,911,"SQL, Sales, Customer Service, Project Management",36,47,High,WA,Low,Middle-Aged,Low,2023
379,2/22/2024,Phoenix,9,2843,"Digital Marketing, Sales",49,89,Moderate,AZ,Moderate,Older,High,2024
380,10/2/2023,Houston,11.5,2272,"Agile Methodologies, Digital Marketing",40,45,High,TX,Moderate,Middle-Aged,Low,2023
381,6/8/2025,Columbus,4.2,2951,"JavaScript, UX/UI Design, SQL, Sales",33,76,Low,OH,Moderate,Middle-Aged,High,2025
382,1/7/2025,Philadelphia,5.1,1671,"SQL, UX/UI Design, Python",34,75,Low,PA,Moderate,Middle-Aged,High,2025
383,10/25/2024,Indianapolis,10.5,1605,"Python, Machine Learning",35,90,High,IN,Moderate,Middle-Aged,High,2024
384,5/3/2025,San Jose,2.9,514,"Cloud Computing, Data Analysis, Project Management, Machine Learning, SQL",29,90,Very Low,CA,Low,Young,High,2025
385,8/17/2024,Denver,14,4809,"Machine Learning, Cloud Computing, JavaScript, SQL, Project Management",28,42,Very High,CO,Very High,Young,Low,2024
386,5/8/2025,Charlotte,13.2,2731,"Machine Learning, SQL, Cloud Computing",29,59,Very High,NC,Moderate,Young,Moderate,2025
387,10/14/2024,Houston,14.1,524,"SQL, JavaScript",45,48,Very High,TX,Low,Older,Low,2024
388,11/30/2023,Washington,10.4,4883,"Sales, Cloud Computing, Customer Service, Agile Methodologies",25,58,High,DC,Very High,Young,Moderate,2023
389,2/26/2025,Philadelphia,10.5,1371,"UX/UI Design, Sales, Digital Marketing, Project Management, Cloud Computing",44,71,High,PA,Low,Older,High,2025
390,10/14/2024,Columbus,12.1,3286,"JavaScript, Python, Sales, Customer Service",35,35,Very High,OH,High,Middle-Aged,Low,2024
391,6/29/2024,Charlotte,6,456,"Data Analysis, Machine Learning, Customer Service",47,89,Low,NC,Very Low,Older,High,2024
392,8/9/2023,Jacksonville,14.1,1891,"Sales, Agile Methodologies, Data Analysis, Project Management",41,54,Very High,FL,Moderate,Older,Moderate,2023
393,7/6/2024,Washington,6.8,4577,"UX/UI Design, Data Analysis",50,45,Moderate,DC,Very High,Older,Low,2024
394,11/1/2023,Houston,3.7,776,"Cloud Computing, Sales",37,59,Very Low,TX,Low,Middle-Aged,Moderate,2023
395,7/18/2024,Fort Worth,5.5,1226,"Customer Service, Cloud Computing, UX/UI Design, Machine Learning, Digital Marketing",38,39,Low,TX,Low,Middle-Aged,Low,2024
396,5/28/2024,Indianapolis,12.7,440,"Digital Marketing, JavaScript, Cloud Computing",32,39,Very High,IN,Very Low,Middle-Aged,Low,2024
397,2/5/2025,Austin,11.6,1931,"Cybersecurity, Customer Service",41,58,High,TX,Moderate,Older,Moderate,2025
398,11/11/2023,Seattle,4.7,910,"Digital Marketing, Customer Service, Python, UX/UI Design",31,31,Low,WA,Low,Middle-Aged,Low,2023
